ReviewID,Product,Category,Source,Country,Rating,Sentiment,Review,WordCount,CharCount,Topic
R07616,Standing Fan,Appliances,Email Survey,India,2,Neutral,I am still deciding about standing fan. I bought the standing fan for regular use. the instructions were adequate with a little experimentation. I would describe the overall experience this way after trying it for a while.,37,222,setup
R10692,Accounting App,Software,Email Survey,Nigeria,5,Positive,I would gladly use accounting app. The accounting app was purchased for a specific need. the price feels reasonable for what I received. I compared the experience with a couple of similar products.,33,197,value
R10185,Cleansing Brush,Beauty,Marketplace,United Kingdom,2,Neutral,It is an average experience with cleansing brush. I chose the cleansing brush after comparing a few options. it takes a little practice to find everything. There were a few details that influenced my overall impression.,36,219,usability
R01684,Face Moisturizer,Beauty,Website,United Kingdom,2,Negative,I have had problems with face moisturizer. I bought the face moisturizer for regular use. cheaper alternatives appear to offer more. That is the part I noticed most during everyday use.,31,185,value
R04575,Rice Cooker,Appliances,Email Survey,Nigeria,1,Negative,I am not satisfied with rice cooker. The rice cooker was purchased for a specific need. the charge was confusing. I have used it several times before writing this review.,30,170,billing
R11541,Power Bank,Electronics,Email Survey,Nigeria,2,Negative,"Unfortunately, power bank. I bought the power bank for regular use. important features are missing. I would describe the overall experience this way after trying it for a while.",29,177,features
R10751,Cloud Storage,Software,Website,India,2,Neutral,I am still deciding about cloud storage. The cloud storage was purchased for a specific need. getting started took longer than expected but was possible. I've used it several times before writing this review.,34,208,setup
R11284,Phone Case,Accessories,Mobile App,Kenya,4,Positive,So far I am happy with phone case. The phone case was purchased for a specific need. support responded quickly. I have used it several times before writing this review.,30,168,support
R07563,Hair Dryer,Beauty,Website,Kenya,5,Positive,I had a smooth experience with hair dryer. I have been testing the hair dryer in normal day-to-day use. the experience was close to what I expected. I would describe the overall experience this way after trying it for a while.,41,226,expectations
R05904,USB Cable,Accessories,Marketplace,South Africa,4,Positive,This has been a good purchase; usb cable. I chose the usb cable after comparing a few options. support responded quickly. I would describe the overall experience this way after trying it for a while.,35,199,support
R02583,Smart Watch,Electronics,Website,United Kingdom,4,Neutral,There are good and bad points with smart watch. smart watch has been part of my routine for a while. delivery was within the stated window. That is the part I noticed most during everyday use.,36,192,delivery
R03003,Power Bank,Electronics,Website,Ghana,5,Positive,My experience with power bank. I've been testing the power bank in normal day-to-day use. support responded quickly. That is the part I noticed most during everyday use.,28,169,support
R10044,USB Cable,Accessories,Website,United States,3,Neutral,I have been using usb cable. I have been testing the usb cable in normal day-to-day use. performance is acceptable for basic tasks. There were a few details that influenced my overall impression.,33,195,performance
R02088,Travel Adapter,Accessories,Mobile App,India,3,Negative,I regret choosing travel adapter. The travel adapter was purchased for a specific need. the delivery process was frustrating. I have used it several times before writing this review.,29,182,delivery
R08929,Cleansing Brush,Beauty,Marketplace,India,5,Positive,I am satisfied with cleansing brush. The cleansing brush was purchased for a specific need. it handles my usual workload well. I am basing this on my experience over the last few weeks.,33,185,performance
R04149,Travel Adapter,Accessories,Mobile App,United States,2,Negative,I regret choosing travel adapter. travel adapter has been part of my routine for a while. the price feels too high for what it offers. I would describe the overall experience this way after trying it for a while.,39,212,value
R00136,Phone Case,Accessories,Email Survey,United States,5,Positive,I would gladly use phone case. The phone case was purchased for a specific need. setup took only a short time. I have used it several times before writing this review.,31,167,setup
R09918,Travel Adapter,Accessories,Website,United States,5,Positive,"I had a smooth experience with travel adapter. I chose the travel adapter after comparing a few options. it offers good value at the current price. For occasional use it may be different, but this was my experience.",38,215,value
R01744,Rice Cooker,Appliances,Website,Canada,4,Positive,The product has worked well for me; rice cooker. The rice cooker was purchased for a specific need. the price feels reasonable for what I received. That is the part I noticed most during everyday use.,36,200,value
R07342,Cleansing Brush,Beauty,Email Survey,Canada,4,Positive,I am satisfied with cleansing brush. The cleansing brush was purchased for a specific need. the invoice was easy to understand. I have used it several times before writing this review.,31,184,billing
R10875,Travel Adapter,Accessories,Marketplace,India,1,Negative,I expected more from travel adapter. I bought the travel adapter for regular use. the controls are harder to use than they should be. I have used it several times before writing this review.,34,190,usability
R03708,Team Chat,Software,Website,United Kingdom,5,Positive,I am satisfied with team chat. I bought the team chat for regular use. the controls are easy to understand. I compared the experience with a couple of similar products.,30,168,usability
R05471,Power Bank,Electronics,Marketplace,Kenya,2,Negative,I regret choosing power bank. The power bank was purchased for a specific need. setup was unnecessarily difficult. I am basing this on my experience over the last few weeks.,30,173,setup
R00701,Face Moisturizer,Beauty,Mobile App,Kenya,3,Neutral,"So far, face moisturizer. face moisturizer has been part of my routine for a while. some options are helpful while others feel unnecessary. That is the part I noticed most during everyday use.",33,192,features
R08558,Air Fryer,Home,Mobile App,Ghana,3,Neutral,"So far, air fryer. I bought the air fryer for regular use. the materials are okay for the price. The result may depend on how heavily you use it.",29,145,quality
R11716,Desk Lamp,Home,Marketplace,United Kingdom,4,Positive,So far I am happy with desk lamp. desk lamp has been part of my routine for a while. the features justify the cost for me. I would describe the overall experience this way after trying it for a while.,40,200,value
R01609,Standing Fan,Appliances,Website,India,4,Positive,I was pleasantly surprised by standing fan. standing fan has been part of my routine for a while. the charge matched what I was shown. I would describe the overall experience this way after trying it for a while.,39,212,billing
R05864,Desk Lamp,Home,Email Survey,Ghana,2,Neutral,My experience with desk lamp. I have been testing the desk lamp in normal day-to-day use. the response was adequate but slow. The result may depend on how heavily you use it.,32,174,support
R00430,Vacuum Cleaner,Home,Email Survey,India,4,Positive,I had a smooth experience with vacuum cleaner. I bought the vacuum cleaner for regular use. the build feels solid. That is the part I noticed most during everyday use.,30,167,quality
R04024,Coffee Maker,Home,Email Survey,India,2,Negative,I have had problems with coffee maker. I chose the coffee maker after comparing a few options. the experience fell short of what was promised. I would describe the overall experience this way after trying it for a while.,39,220,expectations
R06689,Hair Dryer,Beauty,Website,India,3,Neutral,It is an average experience with hair dryer. The hair dryer was purchased for a specific need. the experience was about what I expected. I have used it several times before writing this review.,34,193,expectations
R04101,Air Fryer,Home,Email Survey,Kenya,3,Neutral,"There are good and bad points with air fryer. air fryer has been part of my routine for a while. I received an answer, although it took some follow-up. I've used it several times before writing this review.",38,206,support
R08876,Electric Kettle,Appliances,Website,South Africa,4,Positive,"After several weeks, electric kettle. The electric kettle was purchased for a specific need. the payment process was simple. For occasional use it may be different, but this was my experience.",31,192,billing
R08515,Electric Kettle,Appliances,Website,United States,5,Positive,I had a smooth experience with electric kettle. I chose the electric kettle after comparing a few options. the main features are useful. There were a few details that influenced my overall impression.,33,200,features
R09650,Body Lotion,Beauty,Email Survey,Canada,5,Positive,"This has been a good purchase; body lotion. I have been testing the body lotion in normal day-to-day use. the payment process was simple. For occasional use it may be different, but this was my experience.",36,205,billing
R02271,Cleansing Brush,Beauty,Email Survey,India,5,Positive,I had a smooth experience with cleansing brush. The cleansing brush was purchased for a specific need. the product delivered what I needed. That is the part I noticed most during everyday use.,33,192,expectations
R07693,Phone Case,Accessories,Email Survey,Canada,5,Positive,My experience with phone case. phone case has been part of my routine for a while. the package arrived in good condition. I am basing this on my experience over the last few weeks.,34,180,delivery
R00071,Microwave Oven,Appliances,Email Survey,Ghana,2,Negative,I regret choosing microwave oven. I chose the microwave oven after comparing a few options. the response did not resolve my problem. I am basing this on my experience over the last few weeks.,34,191,support
R05721,Tablet,Electronics,Website,Canada,5,Positive,I had a smooth experience with tablet. I chose the tablet after comparing a few options. the invoice was easy to understand. I would describe the overall experience this way after trying it for a while.,36,202,billing
R10748,USB Cable,Accessories,Marketplace,Ghana,2,Negative,I am disappointed with usb cable. I chose the usb cable after comparing a few options. I had to repeat the same issue several times. There were a few details that influenced my overall impression.,35,196,support
R10153,Desk Lamp,Home,Marketplace,South Africa,5,Positive,The product has worked well for me; desk lamp. I chose the desk lamp after comparing a few options. the response time has been consistent. I am basing this on my experience over the last few weeks.,37,197,performance
R11958,Project Planner,Software,Website,United States,1,Negative,I am not satisfied with project planner. project planner has been part of my routine for a while. the product feels less durable than expected. I have used it several times before writing this review.,35,200,quality
R09138,Electric Kettle,Appliances,Mobile App,Nigeria,5,Positive,I would gladly use electric kettle. electric kettle has been part of my routine for a while. getting started was uncomplicated. The result may depend on how heavily you use it.,31,176,setup
R02020,Standing Fan,Appliances,Mobile App,Kenya,3,Negative,I expected more from standing fan. standing fan has been part of my routine for a while. this item feels less durable than expected. I compared the experience with a couple of similar products.,34,193,quality
R09837,Body Lotion,Beauty,Mobile App,United States,2,Negative,The main issue with body lotion. I bought the body lotion for regular use. the interface is confusing. I am basing this on my experience over the last few weeks.,30,161,usability
R11352,Bluetooth Speaker,Electronics,Marketplace,United States,5,Positive,I was pleasantly surprised by bluetooth speaker. The bluetooth speaker was purchased for a specific need. the package arrived in good condition. That is the part I noticed most during everyday use.,32,197,delivery
R06703,Travel Adapter,Accessories,Email Survey,India,4,Positive,"This has been a good purchase; travel adapter. The travel adapter was purchased for a specific need. the price feels reasonable for what I received. For occasional use it may be different, but this was my experience.",37,216,value
R04030,Power Bank,Electronics,Mobile App,United Kingdom,4,Positive,The product has worked well for me; power bank. I have been testing the power bank in normal day-to-day use. the available options cover what I need. The result may depend on how heavily you use it.,37,198,features
R07760,Cleansing Brush,Beauty,Mobile App,United Kingdom,5,Positive,I would gladly use cleansing brush. I have been testing the cleansing brush in normal day-to-day use. the experience was close to what I expected. There were a few details that influenced my overall impression.,35,210,expectations
R11691,Cleansing Brush,Beauty,Mobile App,United States,4,Positive,"After several weeks, cleansing brush. I bought the cleansing brush for regular use. the controls are easy to understand. That is the part I noticed most during everyday use.",29,173,usability
R08484,Coffee Maker,Home,Mobile App,South Africa,2,Negative,I expected more from coffee maker. I bought the coffee maker for regular use. I had to repeat the same issue several times. I've used it several times before writing this review.,32,178,support
R03859,Body Lotion,Beauty,Website,India,4,Positive,The product has worked well for me; body lotion. The body lotion was purchased for a specific need. setup took only a short time. That is the part I noticed most during everyday use.,34,182,setup
R00745,Rice Cooker,Appliances,Email Survey,Kenya,5,Positive,"After several weeks, rice cooker. I chose the rice cooker after comparing a few options. the package arrived in good condition. That is the part I noticed most during everyday use.",31,180,delivery
R01384,Keyboard,Accessories,Email Survey,Ghana,5,Positive,This has been a good purchase; keyboard. I bought the keyboard for regular use. the main features are useful. The result may depend on how heavily you use it.,29,158,features
R05644,Keyboard,Accessories,Marketplace,Canada,4,Positive,"After several weeks, keyboard. I have been testing the keyboard in normal day-to-day use. the price feels reasonable for what I received. There were a few details that influenced my overall impression.",32,201,value
R08686,Tablet,Electronics,Email Survey,South Africa,2,Neutral,I have been using tablet. tablet has been part of my routine for a while. setup was manageable with some trial and error. The result may depend on how heavily you use it.,33,170,setup
R10614,Blender,Home,Email Survey,Canada,5,Positive,I would gladly use blender. blender has been part of my routine for a while. I learned the main features quickly. I have used it several times before writing this review.,31,170,usability
R00150,Body Lotion,Beauty,Website,India,4,Positive,"After several weeks, body lotion. The body lotion was purchased for a specific need. the available options cover what I need. That is the part I noticed most during everyday use.",31,178,features
R11880,Smart Watch,Electronics,Website,Ghana,3,Negative,I've had problems with smart watch. I've been testing the smart watch in normal day-to-day use. the cost is difficult to justify. The result may depend on how heavily you use it.,32,178,value
R00812,Coffee Maker,Home,Email Survey,United States,2,Negative,"I am disappointed with coffee maker. coffee maker has been part of my routine for a while. the cost is difficult to justify. For occasional use it may be different, but this was my experience.",35,192,value
R05901,Electric Kettle,Appliances,Mobile App,United States,2,Neutral,"Overall, electric kettle. I have been testing the electric kettle in normal day-to-day use. the charge was correct, but the invoice could be clearer. I have used it several times before writing this review.",34,206,billing
R04329,Smart Watch,Electronics,Email Survey,Ghana,4,Positive,I had a smooth experience with smart watch. I chose the smart watch after comparing a few options. it handles my usual workload well. That is the part I noticed most during everyday use.,34,186,performance
R06374,Cleansing Brush,Beauty,Marketplace,United States,2,Negative,I expected more from cleansing brush. cleansing brush has been part of my routine for a while. it did not match the description well. I compared the experience with a couple of similar products.,34,194,expectations
R03996,Bluetooth Speaker,Electronics,Marketplace,Kenya,2,Neutral,There are good and bad points with bluetooth speaker. I bought the bluetooth speaker for regular use. the materials are okay for the price. That is the part I noticed most during everyday use.,34,192,quality
R04383,Accounting App,Software,Mobile App,South Africa,3,Neutral,"So far, accounting app. accounting app has been part of my routine for a while. there are useful features, though a few are missing. I am basing this on my experience over the last few weeks.",36,191,features
R01731,Blender,Home,Email Survey,United Kingdom,4,Positive,So far I am happy with blender. I bought the blender for regular use. the response time has been consistent. I am basing this on my experience over the last few weeks.,32,167,performance
R04360,Team Chat,Software,Mobile App,Canada,4,Positive,So far I am happy with team chat. The team chat was purchased for a specific need. the package arrived in good condition. I've used it several times before writing this review.,32,176,delivery
R05028,Laptop Stand,Accessories,Website,Kenya,5,Positive,I am satisfied with laptop stand. I bought the laptop stand for regular use. it matched what was described. I am basing this on my experience over the last few weeks.,31,166,expectations
R01794,Wireless Headphones,Electronics,Marketplace,United Kingdom,3,Negative,The main issue with wireless headphones. I chose the wireless headphones after comparing a few options. getting started took much longer than it should have. I compared the experience with a couple of similar products.,35,218,setup
R09080,Smart Watch,Electronics,Email Survey,India,5,Positive,The product has worked well for me; smart watch. I bought the smart watch for regular use. the feature set is practical. That is the part I noticed most during everyday use.,32,173,features
R05467,Face Moisturizer,Beauty,Mobile App,India,3,Negative,My experience with face moisturizer. I chose the face moisturizer after comparing a few options. the delivery process was frustrating. I compared the experience with a couple of similar products.,30,195,delivery
R11128,Electric Kettle,Appliances,Website,United States,5,Positive,This has been a good purchase; electric kettle. I've been testing the electric kettle in normal day-to-day use. it matched what was described. That is the part I noticed most during everyday use.,33,195,expectations
R08487,Cleansing Brush,Beauty,Website,United States,4,Positive,"So far I am happy with cleansing brush. cleansing brush has been part of my routine for a while. the price feels reasonable for what I received. For occasional use it may be different, but this was my experience.",39,212,value
R01122,Phone Case,Accessories,Website,Kenya,2,Negative,I regret choosing phone case. I chose the phone case after comparing a few options. the price feels too high for what it offers. I've used it several times before writing this review.,33,183,value
R04619,USB Cable,Accessories,Email Survey,Canada,5,Positive,The product has worked well for me; usb cable. The usb cable was purchased for a specific need. the controls are easy to understand. That is the part I noticed most during everyday use.,34,185,usability
R05938,Hair Dryer,Beauty,Mobile App,South Africa,4,Positive,My experience with hair dryer. hair dryer has been part of my routine for a while. the agent explained the issue clearly. That is the part I noticed most during everyday use.,32,174,support
R09528,Bluetooth Speaker,Electronics,Marketplace,South Africa,5,Positive,This has been a good purchase; bluetooth speaker. bluetooth speaker has been part of my routine for a while. it offers good value at the current price. I am basing this on my experience over the last few weeks.,39,210,value
R02035,Tablet,Electronics,Email Survey,Ghana,3,Neutral,"I am still deciding about tablet. I've been testing the tablet in normal day-to-day use. it mostly matched the description, with a few differences. I would describe the overall experience this way after trying it for a while.",38,225,expectations
R03127,Cleansing Brush,Beauty,Email Survey,Kenya,2,Negative,I am disappointed with cleansing brush. The cleansing brush was purchased for a specific need. it has not been reliable for my usual workload. That is the part I noticed most during everyday use.,34,195,performance
R11065,Standing Fan,Appliances,Mobile App,United States,4,Positive,I would gladly use standing fan. The standing fan was purchased for a specific need. it handles my usual workload well. I've used it several times before writing this review.,30,174,performance
R11823,Hair Dryer,Beauty,Website,Ghana,2,Neutral,"So far, hair dryer. hair dryer has been part of my routine for a while. the experience was about what I expected. I am basing this on my experience over the last few weeks.",34,172,expectations
R03828,Cloud Storage,Software,Website,Canada,2,Neutral,"I have mixed feelings about cloud storage. I have been testing the cloud storage in normal day-to-day use. the price seems fair, but I would compare alternatives. I am basing this on my experience over the last few weeks.",39,221,value
R04368,Laptop Stand,Accessories,Marketplace,Ghana,3,Neutral,I've been using laptop stand. I've been testing the laptop stand in normal day-to-day use. it takes a little practice to find everything. I am basing this on my experience over the last few weeks.,35,196,usability
R05298,Rice Cooker,Appliances,Website,Nigeria,3,Neutral,There are good and bad points with rice cooker. rice cooker has been part of my routine for a while. the package arrived without major issues. I am basing this on my experience over the last few weeks.,38,201,delivery
R03211,Bluetooth Speaker,Electronics,Website,Kenya,5,Positive,I was pleasantly surprised by bluetooth speaker. bluetooth speaker has been part of my routine for a while. the main features are useful. I would describe the overall experience this way after trying it for a while.,37,215,features
R09929,Hair Dryer,Beauty,Mobile App,Kenya,2,Negative,I have had problems with hair dryer. The hair dryer was purchased for a specific need. some advertised options are difficult to use. That is the part I noticed most during everyday use.,33,185,features
R02699,Cloud Storage,Software,Marketplace,United States,3,Negative,I regret choosing cloud storage. cloud storage has been part of my routine for a while. the experience fell short of what was promised. I would describe the overall experience this way after trying it for a while.,38,213,expectations
R08046,Standing Fan,Appliances,Mobile App,Kenya,5,Positive,"After several weeks, standing fan. I have been testing the standing fan in normal day-to-day use. getting started was uncomplicated. That is the part I noticed most during everyday use.",30,185,setup
R04280,Air Fryer,Home,Email Survey,United States,5,Positive,I would gladly use air fryer. I bought the air fryer for regular use. the product delivered what I needed. I am basing this on my experience over the last few weeks.,32,165,expectations
R00374,Photo Editor,Software,Email Survey,Nigeria,2,Negative,"I regret choosing photo editor. I have been testing the photo editor in normal day-to-day use. the delivery process was frustrating. For occasional use it may be different, but this was my experience.",33,200,delivery
R00625,Microwave Oven,Appliances,Mobile App,Ghana,3,Neutral,"Overall, microwave oven. The microwave oven was purchased for a specific need. the experience was about what I expected. There were a few details that influenced my overall impression.",29,184,expectations
R11618,Wireless Headphones,Electronics,Mobile App,Ghana,5,Positive,This has been a good purchase; wireless headphones. I have been testing the wireless headphones in normal day-to-day use. it performs reliably during normal use. There were a few details that influenced my overall impression.,35,225,performance
R06097,Face Moisturizer,Beauty,Mobile App,Kenya,5,Positive,I was pleasantly surprised by face moisturizer. I bought the face moisturizer for regular use. the materials seem durable. That is the part I noticed most during everyday use.,29,175,quality
R04984,Team Chat,Software,Website,United States,2,Negative,I expected more from team chat. The team chat was purchased for a specific need. setup was unnecessarily difficult. The result may depend on how heavily you use it.,29,164,setup
